Balloon filename (gpx),station,expected timeframe
SMT_20220828_111632.gpx,22,2022-08-28 11:20:48+00:00 till 2022-08-28 11:23:41+00:00
SMT_20220828_111632.gpx,23,2022-08-28 11:23:37+00:00 till 2022-08-28 11:26:31+00:00
SMT_20220828_111632.gpx,24,2022-08-28 11:25:58+00:00 till 2022-08-28 11:29:02+00:00
SMT_20220623_231633.gpx,21,2022-06-23 23:19:40+00:00 till 2022-06-23 23:20:29+00:00
SMT_20220623_231633.gpx,13,2022-06-23 23:28:34+00:00 till 2022-06-23 23:32:20+00:00
SMT_20220623_231633.gpx,22,2022-06-23 23:22:32+00:00 till 2022-06-23 23:27:51+00:00
SMT_20220729_231657.gpx,21,2022-07-30 00:26:32+00:00 till 2022-07-30 00:50:00+00:00
SMT_20220729_231657.gpx,12,2022-07-30 00:33:41+00:00 till 2022-07-30 00:50:00+00:00
SMT_20220729_231657.gpx,11,2022-07-30 00:25:43+00:00 till 2022-07-30 00:50:00+00:00
SMT_20220729_231657.gpx,22,2022-07-30 00:40:00+00:00 till 2022-07-30 00:46:49+00:00
SMT_20220807_111547.gpx,12,2022-08-07 11:21:28+00:00 till 2022-08-07 11:25:53+00:00
SMT_20220807_111547.gpx,11,2022-08-07 11:19:32+00:00 till 2022-08-07 11:20:45+00:00
SMT_20220807_111547.gpx,13,2022-08-07 11:24:38+00:00 till 2022-08-07 11:29:13+00:00
SMT_20220624_111844.gpx,21,2022-06-24 11:28:53+00:00 till 2022-06-24 11:32:06+00:00
SMT_20220624_111844.gpx,12,2022-06-24 11:32:16+00:00 till 2022-06-24 11:34:25+00:00
SMT_20220624_111844.gpx,13,2022-06-24 11:32:59+00:00 till 2022-06-24 11:35:42+00:00
SMT_20220624_111844.gpx,22,2022-06-24 11:30:36+00:00 till 2022-06-24 11:33:35+00:00
SMT_20220624_111844.gpx,23,2022-06-24 11:32:47+00:00 till 2022-06-24 11:34:01+00:00
SMT_20220929_111540.gpx,12,2022-09-29 11:19:38+00:00 till 2022-09-29 11:21:09+00:00
SMT_20220720_111442.gpx,21,2022-07-20 11:26:48+00:00 till 2022-07-20 11:41:47+00:00
SMT_20220720_111442.gpx,12,2022-07-20 11:40:20+00:00 till 2022-07-20 12:04:37+00:00
SMT_20220720_111442.gpx,13,2022-07-20 11:40:24+00:00 till 2022-07-20 12:21:25+00:00
SMT_20220720_111442.gpx,22,2022-07-20 11:31:09+00:00 till 2022-07-20 12:04:45+00:00
SMT_20220720_111442.gpx,23,2022-07-20 11:34:57+00:00 till 2022-07-20 12:16:30+00:00
SMT_20220720_111442.gpx,24,2022-07-20 11:39:44+00:00 till 2022-07-20 12:24:08+00:00
SMT_20220829_111459.gpx,21,2022-08-29 11:15:52+00:00 till 2022-08-29 11:16:02+00:00
SMT_20220829_111459.gpx,22,2022-08-29 11:17:03+00:00 till 2022-08-29 11:17:29+00:00
SMT_20220829_111459.gpx,23,2022-08-29 11:18:27+00:00 till 2022-08-29 11:19:14+00:00
SMT_20220829_111459.gpx,24,2022-08-29 11:19:38+00:00 till 2022-08-29 11:20:33+00:00
SMT_20220705_113009.gpx,21,2022-07-05 12:38:33+00:00 till 2022-07-05 12:53:24+00:00
SMT_20220705_113009.gpx,12,2022-07-05 12:46:17+00:00 till 2022-07-05 12:53:24+00:00
SMT_20220705_113009.gpx,11,2022-07-05 12:43:05+00:00 till 2022-07-05 12:53:24+00:00
SMT_20220705_113009.gpx,13,2022-07-05 12:50:31+00:00 till 2022-07-05 12:53:24+00:00
SMT_20220705_113009.gpx,22,2022-07-05 12:43:08+00:00 till 2022-07-05 12:53:24+00:00
SMT_20220705_113009.gpx,23,2022-07-05 12:48:36+00:00 till 2022-07-05 12:53:24+00:00
SMT_20220817_111600.gpx,21,2022-08-17 11:19:19+00:00 till 2022-08-17 11:36:20+00:00
SMT_20220817_111600.gpx,11,2022-08-17 11:24:45+00:00 till 2022-08-17 11:33:15+00:00
SMT_20220817_111600.gpx,22,2022-08-17 11:32:53+00:00 till 2022-08-17 11:35:41+00:00
SMT_20220904_111459.gpx,21,2022-09-04 11:16:37+00:00 till 2022-09-04 11:19:41+00:00
SMT_20220904_111459.gpx,22,2022-09-04 11:20:26+00:00 till 2022-09-04 11:22:21+00:00
SMT_20220904_111459.gpx,23,2022-09-04 11:22:26+00:00 till 2022-09-04 11:25:28+00:00
SMT_20220904_111459.gpx,24,2022-09-04 11:24:31+00:00 till 2022-09-04 11:26:17+00:00
SMT_20220928_111604.gpx,21,2022-09-28 11:32:47+00:00 till 2022-09-28 11:34:28+00:00
SMT_20220928_111604.gpx,12,2022-09-28 11:35:00+00:00 till 2022-09-28 11:41:03+00:00
SMT_20220928_111604.gpx,11,2022-09-28 11:32:24+00:00 till 2022-09-28 11:38:41+00:00
SMT_20220928_111604.gpx,13,2022-09-28 11:39:10+00:00 till 2022-09-28 11:42:16+00:00
SMT_20220930_231507.gpx,13,2022-09-30 23:19:02+00:00 till 2022-09-30 23:19:46+00:00
SMT_20220904_231730.gpx,23,2022-09-04 23:21:20+00:00 till 2022-09-04 23:21:57+00:00
SMT_20220904_231730.gpx,24,2022-09-04 23:22:36+00:00 till 2022-09-04 23:23:36+00:00
SMT_20220921_111527.gpx,12,2022-09-21 11:27:07+00:00 till 2022-09-21 11:29:37+00:00
SMT_20220921_111527.gpx,11,2022-09-21 11:25:05+00:00 till 2022-09-21 11:27:38+00:00
SMT_20220921_111527.gpx,13,2022-09-21 11:28:52+00:00 till 2022-09-21 11:31:14+00:00
SMT_20220725_112511.gpx,21,2022-07-25 11:26:36+00:00 till 2022-07-25 11:27:05+00:00
SMT_20220725_112511.gpx,12,2022-07-25 11:29:14+00:00 till 2022-07-25 11:30:50+00:00
SMT_20220907_231621.gpx,22,2022-09-07 23:20:33+00:00 till 2022-09-07 23:22:02+00:00
SMT_20220907_231621.gpx,23,2022-09-07 23:22:42+00:00 till 2022-09-07 23:23:59+00:00
SMT_20220907_231621.gpx,24,2022-09-07 23:23:54+00:00 till 2022-09-07 23:25:25+00:00
SMT_20220827_111534.gpx,23,2022-08-27 11:21:04+00:00 till 2022-08-27 11:21:12+00:00
SMT_20220827_111534.gpx,24,2022-08-27 11:22:13+00:00 till 2022-08-27 11:24:17+00:00
SMT_20220615_231713.gpx,12,2022-06-15 23:21:15+00:00 till 2022-06-15 23:23:05+00:00
SMT_20220615_231713.gpx,13,2022-06-15 23:23:35+00:00 till 2022-06-15 23:24:45+00:00
SMT_20220908_111450.gpx,12,2022-09-08 11:19:44+00:00 till 2022-09-08 11:22:19+00:00
SMT_20220908_111450.gpx,13,2022-09-08 11:22:11+00:00 till 2022-09-08 11:24:51+00:00
SMT_20220629_231522.gpx,22,2022-06-29 23:20:06+00:00 till 2022-06-29 23:22:01+00:00
SMT_20220629_231522.gpx,23,2022-06-29 23:22:46+00:00 till 2022-06-29 23:25:58+00:00
SMT_20220616_231523.gpx,11,2022-06-16 23:17:45+00:00 till 2022-06-16 23:18:31+00:00
SMT_20220729_112533.gpx,21,2022-07-29 12:12:52+00:00 till 2022-07-29 12:39:15+00:00
SMT_20220729_112533.gpx,12,2022-07-29 12:20:31+00:00 till 2022-07-29 12:49:41+00:00
SMT_20220729_112533.gpx,11,2022-07-29 12:15:59+00:00 till 2022-07-29 12:48:06+00:00
SMT_20220729_112533.gpx,13,2022-07-29 12:25:55+00:00 till 2022-07-29 12:49:28+00:00
SMT_20220729_112533.gpx,22,2022-07-29 12:19:36+00:00 till 2022-07-29 12:38:31+00:00
SMT_20220729_112533.gpx,23,2022-07-29 12:26:41+00:00 till 2022-07-29 12:35:17+00:00
SMT_20220704_112103.gpx,21,2022-07-04 11:42:45+00:00 till 2022-07-04 12:42:56+00:00
SMT_20220704_112103.gpx,12,2022-07-04 11:45:09+00:00 till 2022-07-04 12:47:08+00:00
SMT_20220704_112103.gpx,11,2022-07-04 11:37:54+00:00 till 2022-07-04 12:46:15+00:00
SMT_20220704_112103.gpx,13,2022-07-04 11:51:13+00:00 till 2022-07-04 12:47:08+00:00
SMT_20220704_112103.gpx,22,2022-07-04 11:46:40+00:00 till 2022-07-04 12:44:54+00:00
SMT_20220704_112103.gpx,23,2022-07-04 11:50:59+00:00 till 2022-07-04 12:45:21+00:00
SMT_20220704_112103.gpx,24,2022-07-04 11:55:58+00:00 till 2022-07-04 12:45:32+00:00
SMT_20220621_111823.gpx,21,2022-06-21 12:45:08+00:00 till 2022-06-21 12:48:37+00:00
SMT_20220621_111823.gpx,22,2022-06-21 12:46:53+00:00 till 2022-06-21 12:48:37+00:00
SMT_20220825_112057.gpx,12,2022-08-25 11:25:04+00:00 till 2022-08-25 11:26:01+00:00
SMT_20220712_111713.gpx,21,2022-07-12 12:16:00+00:00 till 2022-07-12 12:39:32+00:00
SMT_20220712_111713.gpx,12,2022-07-12 12:23:53+00:00 till 2022-07-12 12:39:32+00:00
SMT_20220712_111713.gpx,11,2022-07-12 12:18:46+00:00 till 2022-07-12 12:39:32+00:00
SMT_20220712_111713.gpx,13,2022-07-12 12:31:17+00:00 till 2022-07-12 12:39:32+00:00
SMT_20220712_111713.gpx,22,2022-07-12 12:24:41+00:00 till 2022-07-12 12:39:10+00:00
SMT_20220702_111827.gpx,21,2022-07-02 12:13:52+00:00 till 2022-07-02 12:22:37+00:00
SMT_20220702_111827.gpx,12,2022-07-02 12:14:04+00:00 till 2022-07-02 12:28:08+00:00
